Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Yogurt parfait,105.0,15.86,1.1,30.0,Medium,Low,Low
Frozen yogurt cone,97.0,24.59,1.2,41.75,High,Low,Low
Strawberry beverage powder,4.0,99.1,0.0,0.0,High,Low,Low
Cream,90.57142857142857,5.312857142857142,0.0,174.14285714285714,Low,Medium,Low
Dip,76.0,3.49,0.3,69.0,Low,High,Low
Banana split,74.0,32.53,1.3,68.0,High,Medium,Low
Cheese dip with chili pepper,98.0,11.14,0.7,33.0,Low,Medium,Low
Grilled cheese sandwich,416.15384615384613,26.588461538461537,2.184615384615385,178.69230769230768,Low,Medium,Medium
Lamb hocks,20.0,0.0,0.0,0.0,Low,Medium,High
Veal patty,38.0,8.63,0.5,9.0,Low,Medium,High
Venison/deer,6.25,0.0,0.0,0.0,Low,Low,High
Deer sausage,21.0,4.29,0.0,19.0,Low,High,Medium
Venison/deer ribs,6.0,0.0,0.0,0.0,Low,Low,High
Chicken drumstick,15.222222222222221,2.0685185185185184,0.07777777777777778,10.185185185185185,Low,Medium,High
Turkey,25.162790697674417,2.610697674418605,0.18604651162790703,15.162790697674419,Low,Medium,High
Head cheese,16.0,0.0,0.0,0.0,Low,Medium,Medium
Knockwurst,11.0,3.2,0.0,0.0,Low,High,Medium
Turkey or chicken sausage,25.333333333333332,5.166666666666667,0.0,0.0,Low,Medium,High
Pickled sausage,12.0,2.13,0.0,22.0,Low,High,High
Steak tartare,32.0,1.56,0.4,55.0,Low,Medium,High
Veal with cream sauce,42.0,2.74,0.0,40.0,Low,Medium,High
Chili con carne with chicken or turkey and beans,32.0,7.36,2.4,21.0,Low,Low,Medium
Scallops with cheese sauce,100.0,5.43,0.0,26.0,Low,Medium,High
Stewed codfish,17.0,6.375,1.2000000000000002,9.0,Low,Low,Medium
Beef and potatoes with cream sauce,32.0,8.67,0.7,12.0,Low,Low,Medium
